date,open,high,low,close,cvd
2024-11-18,89850.0,92607.2,89400.0,90507.9,31157.155295
2024-11-19,90508.0,94000.0,90424.6,92376.1,31534.558203
2024-11-20,92376.1,94925.0,91636.1,94364.5,33827.944984
2024-11-21,94356.8,98999.0,94135.0,98496.0,37782.592550
2024-11-22,98496.0,99650.0,97218.3,99000.0,39337.984437
2024-11-23,99000.0,99000.0,97219.2,97759.1,38620.431755
2024-11-24,97759.1,98607.4,95751.2,97994.1,39598.294566
2024-11-25,97994.1,98880.0,92550.0,93000.0,35920.517632
2024-11-26,93000.1,94995.0,90736.0,91914.5,34139.224884
2024-11-27,91914.6,97387.9,91818.3,95952.9,35920.993797
2024-11-28,95946.8,96652.0,94653.6,95637.8,35903.862705
2024-11-29,95637.8,98670.1,95385.7,97478.7,36675.249189
2024-11-30,97478.7,97491.2,96185.0,96456.2,36251.685176
2024-12-01,96456.3,97850.0,95754.4,97244.6,36585.478406
2024-12-02,97245.0,98135.3,94450.0,95853.3,36090.480513
2024-12-03,95853.3,96267.2,93565.1,95917.5,37387.612154
2024-12-04,95917.5,99213.9,94656.9,98757.1,40591.605049
2024-12-05,98757.1,104015.5,91800.0,97087.3,39463.485707
2024-12-06,97087.3,101995.0,96510.3,99872.9,40080.299015
2024-12-07,99873.0,100501.4,99000.0,99899.9,40245.236216
2024-12-08,99900.0,101400.0,98699.7,101170.0,41158.879556
2024-12-09,101170.0,101214.3,94140.9,97399.9,40933.147179
2024-12-10,97337.0,98267.9,94314.1,96655.1,41386.057905
2024-12-11,96655.1,101900.0,95754.0,101177.0,43315.762754
2024-12-12,101177.1,102500.0,99296.6,100050.1,42280.236386
2024-12-13,100050.1,101905.2,99250.0,101483.1,43206.555871
2024-12-14,101483.1,102637.2,100666.0,101400.1,42970.101841
2024-12-15,101400.1,105000.0,101222.5,104355.2,44311.292458
2024-12-16,104355.3,107777.0,103319.4,106067.2,45365.115062
2024-12-17,106070.2,108297.6,105124.0,106151.9,43715.011213
2024-12-18,106152.0,106489.3,100027.8,100166.1,40829.273618
2024-12-19,100166.1,102750.0,95586.4,97431.4,39091.894951
2024-12-20,97431.5,98064.7,92159.0,97781.8,41936.108161
2024-12-21,97781.8,99575.4,96359.8,97232.6,41406.703544
2024-12-22,97232.7,97321.3,94201.1,95101.9,41050.236796
2024-12-23,95101.9,96403.0,92417.0,94699.4,41283.750930
2024-12-24,94699.4,99400.0,93500.0,98647.2,42426.145835
2024-12-25,98647.2,99411.6,97600.0,99310.8,43031.904754
2024-12-26,99328.2,99821.8,95139.1,95645.0,42023.279018
2024-12-27,95660.9,97308.6,93300.0,94148.9,40996.499962
2024-12-28,94147.6,95497.0,94033.5,95204.1,41265.100721
2024-12-29,95204.1,95204.1,92860.7,93551.0,40978.098428
2024-12-30,93551.0,94858.7,91256.6,92611.3,40440.735771
2024-12-31,92611.3,96040.0,91934.1,93370.9,39931.131471
2025-01-01,93370.8,94888.0,92588.1,94380.8,40253.170052
2025-01-02,94380.9,97719.9,94167.2,96805.2,41091.308018
2025-01-03,96805.3,98888.0,96034.1,98111.1,41783.851138
2025-01-04,98111.1,98714.8,97548.4,98208.9,41867.453985
2025-01-05,98208.9,98750.0,97250.0,98306.2,42045.990771
2025-01-06,98306.3,102479.6,97974.0,102222.0,44061.835936
2025-01-07,102222.0,102759.3,96100.0,96932.2,42319.534269
2025-01-08,96932.2,97232.8,92501.0,95060.4,42538.365927
2025-01-09,95060.1,95251.1,91168.5,92531.7,41685.327239
2025-01-10,92523.5,95771.2,92200.0,94698.8,42647.661876
2025-01-11,94698.9,94986.6,93865.0,94562.1,42724.324218
2025-01-12,94562.1,95300.0,93652.2,94449.9,42710.564007
2025-01-13,94450.0,95808.2,89005.8,94487.1,44730.622720
2025-01-14,94487.1,97302.9,94313.0,96560.1,45438.653498
2025-01-15,96560.1,100731.7,96500.0,100496.4,47358.701492
2025-01-16,100496.5,100700.0,97333.0,99976.7,48365.205910
2025-01-17,99976.7,105883.0,99952.8,104089.8,49751.648797
2025-01-18,104089.8,104907.3,102222.0,104382.0,50832.958643
2025-01-19,104382.0,106246.6,99538.2,101191.1,48686.825075
2025-01-20,101191.0,109112.0,99500.0,102162.8,45946.637244
2025-01-21,102142.1,107200.0,100114.2,106162.8,47903.004604
2025-01-22,106162.8,106293.4,103271.3,103648.5,46858.921092
2025-01-23,103648.6,106833.2,101281.7,103920.2,46626.910577
2025-01-24,103920.2,107080.6,102800.0,104840.4,46543.093972
2025-01-25,104840.4,105194.1,104250.0,104705.2,46520.122379
2025-01-26,104705.3,105380.0,102544.1,102596.5,45606.130030
2025-01-27,102596.5,103200.0,97688.7,102133.3,47986.301647
2025-01-28,102133.3,103728.0,100200.0,101299.8,47302.120549
2025-01-29,101299.9,104749.1,101277.6,103708.0,48130.043344
2025-01-30,103708.1,106414.4,103252.5,104750.1,48024.060560
2025-01-31,104750.1,106000.0,101500.0,102406.0,46975.191336
2025-02-01,102406.0,102748.6,100147.0,100624.2,46222.764285
2025-02-02,100624.3,101415.5,96100.0,97696.1,45097.775753
2025-02-03,97696.0,102500.0,91000.0,101425.1,49603.498431
2025-02-04,101425.1,101721.9,96250.0,97868.5,48311.878287
2025-02-05,97868.4,99125.0,96191.0,96623.8,47364.577416
2025-02-06,96613.4,99100.0,95700.0,96559.2,46366.890616
2025-02-07,96558.5,100181.7,95634.1,96547.5,45214.237096
2025-02-08,96547.5,96860.1,95656.9,96496.5,45366.077932
2025-02-09,96496.5,97291.2,94763.1,96473.0,45613.946586
2025-02-10,96473.0,98300.0,95326.7,97441.2,46105.268156
2025-02-11,97441.2,98442.3,94899.2,95767.1,45427.153922
2025-02-12,95767.1,98042.8,94111.0,97874.0,46764.701136
2025-02-13,97874.0,98077.1,95273.7,96628.0,46721.029412
2025-02-14,96628.0,98826.0,96340.7,97464.0,46574.665199
2025-02-15,97464.0,97902.0,97279.3,97588.2,46571.708019
2025-02-16,97588.2,97700.0,96112.6,96144.1,46272.604390
2025-02-17,96144.1,97032.6,95224.7,95772.8,45876.862790
2025-02-18,95772.8,96650.9,93388.7,95600.0,46400.618263
2025-02-19,95600.0,96875.0,94996.8,96625.7,47220.872556
2025-02-20,96625.7,98744.0,96405.7,98339.1,48057.599942
2025-02-21,98339.1,99481.1,94858.0,96099.5,47047.897766
2025-02-22,96099.5,96900.0,95791.3,96600.1,47270.120377
2025-02-23,96600.1,96621.6,95300.0,96303.4,47456.604892
2025-02-24,96303.4,96483.0,91400.0,91534.4,45303.324588
2025-02-25,91534.4,92487.3,86000.0,88632.6,44321.797214
2025-02-26,88632.6,89271.0,80525.0,84089.8,43235.319699
2025-02-27,84089.9,86951.2,82611.0,84691.4,43131.718164
2025-02-28,84668.4,85061.0,78219.0,84309.2,46641.844022
2025-03-01,84309.2,86515.9,83799.3,86020.8,47348.736679
2025-03-02,86020.8,95000.0,84500.1,94285.0,51799.539574
2025-03-03,94285.0,94401.6,85055.0,86144.7,47860.915747
2025-03-04,86144.7,88888.0,81434.5,87250.0,50489.594215
2025-03-05,87250.0,90975.1,86378.4,90610.4,53682.753752
2025-03-06,90610.4,92741.5,87836.3,89916.8,53228.732285
2025-03-07,89925.3,91227.4,84665.7,86762.3,51592.110999
2025-03-08,86762.3,86809.4,85230.0,86164.1,51741.413889
2025-03-09,86164.1,86435.2,80006.7,80684.0,50147.349725
2025-03-10,80709.9,83971.5,77414.3,78558.8,47926.844170
2025-03-11,78558.9,83607.9,76615.7,82900.0,51057.132361
2025-03-12,82900.0,84482.0,80628.9,83673.4,52516.995591
2025-03-13,83673.4,84282.4,79930.7,81112.3,51603.689652
2025-03-14,81112.3,85278.7,80847.2,83997.6,52479.332257
2025-03-15,83997.7,84659.4,83666.9,84332.9,52679.361341
2025-03-16,84333.0,85021.0,82009.8,82599.9,52167.201963
2025-03-17,82600.0,84700.0,82500.0,84015.2,52643.610416
2025-03-18,84015.2,84015.2,81166.0,82705.4,52766.584271
2025-03-19,82705.4,87000.0,82553.3,86879.5,55295.154514
2025-03-20,86879.6,87433.9,83609.1,84178.6,53780.690975
2025-03-21,84178.6,84771.3,83179.3,84034.3,53856.197602
2025-03-22,84034.3,84450.0,83667.4,83800.0,53565.136757
2025-03-23,83800.0,86100.0,83799.9,86076.5,54141.537924
2025-03-24,86076.5,88750.0,85558.1,87505.3,54622.882926
2025-03-25,87511.9,88500.0,86306.7,87458.1,54686.577805
2025-03-26,87458.1,88263.0,85853.7,86899.0,54447.390125
2025-03-27,86899.0,87755.8,85838.9,87209.9,54885.996085
2025-03-28,87209.9,87441.7,83530.1,84373.9,53718.740764
2025-03-29,84373.9,84559.8,81655.0,82613.8,53325.504196
2025-03-30,82613.8,83500.0,81588.7,82325.4,53115.552754
2025-03-31,82325.4,83870.8,81270.3,82523.0,53053.578248
2025-04-01,82523.0,85500.0,82415.9,85201.1,54470.596970
