timestamp,price,volume,side
1782333111.3431115,60774.8,1.11340647,b
1782333538.362166,60792.8,2.17048139,s
1782333538.362166,60792.9,1.76897647,s
1782334048.0065172,60850.0,1.64222885,b
1782334179.3172944,60941.7,2.33860206,b
1782334179.406037,60941.7,1.27773986,b
1782334179.4138534,60941.7,2.79140017,b
1782334179.4224224,60941.7,2.4768925,b
1782334179.4224224,60941.7,2.6521985,b
1782334179.4395006,60941.7,1.61029291,b
1782334179.459743,60941.7,1.48056706,b
1782334179.5100837,60979.5,2.54152556,b
1782334179.5107691,60979.5,2.053925,b
1782334179.7120814,60979.5,2.264179,b
1782334180.1546915,61000.0,1.47264785,b
1782334202.7845259,61063.5,1.20613504,s
1782334341.7099578,61047.9,1.60286459,b
1782334341.709958,61049.8,1.0,b
1782334341.709958,61058.7,1.0,b
1782334341.709958,61058.7,1.0,b
1782334354.2917156,61079.8,1.99738833,b
1782334354.2917156,61094.5,1.467454,b
1782334399.6281023,61047.8,1.466911,s
1782334681.887786,60932.5,1.02060991,s
1782334972.5176082,60692.3,2.80019317,s
1782336407.6520677,60750.0,3.77253876,b
1782336825.2291155,60765.0,2.55830324,b
1782337075.0579758,60935.0,1.20163332,b
1782337080.6547887,61005.1,2.69349747,b
1782337466.7959645,61009.0,1.07183174,b
1782339101.5799887,60988.5,2.78682283,s
1782339251.3035638,60934.3,1.64052174,s
1782339251.303564,60918.4,6.24428042,s
1782339251.303564,60923.8,1.469255,s
1782339251.303564,60925.4,2.46202651,s
1782339531.0385213,60864.8,8.21491799,s
1782339531.0385213,60870.9,2.46423008,s
1782339531.0385215,60859.8,1.44747835,s
1782339531.0385215,60861.4,1.56254725,s
1782346424.6980925,61028.1,1.0,s
1782347334.9773242,60875.3,2.45173487,s
1782347334.9773242,60876.0,1.838585,s
1782347334.9773242,60880.2,2.46385272,s
1782347334.9773245,60875.2,1.56519901,s
1782347334.9773247,60867.3,1.02576431,s
1782347334.9773247,60867.3,1.39304993,s
1782347334.9773247,60867.3,2.58183007,s
1782347334.977325,60860.6,2.2895139,s
1782347334.977325,60860.7,1.02808564,s
1782347334.977325,60860.7,1.03765598,s
1782347334.9773252,60859.0,1.09802631,s
1782347334.9773252,60859.0,1.89992582,s
1782349195.5409806,60690.7,1.29188511,b
1782349195.5424793,60690.7,1.26386251,b
1782349195.9829547,60690.7,2.07007432,b
1782349467.4610903,60675.6,1.57021693,s
1782349552.1856418,60675.7,1.87445,b
1782349552.1898098,60675.7,2.39887435,b
1782349552.2248986,60675.7,1.87445,b
1782349552.2292717,60675.7,1.87445,b
1782350294.2839422,60717.3,1.10765473,s
1782350445.947288,60731.6,1.5346624,b
1782350612.0115516,60814.6,1.03603262,b
1782353542.1671932,60679.4,2.80017455,s
1782361731.1988869,60810.0,1.841142,b
1782363125.3711143,61000.0,1.83702566,b
1782363228.454194,61113.7,1.44399244,b
1782363228.4541943,61122.6,1.007436,b
1782363368.6456144,61180.8,1.39825269,b
1782363368.6614537,61180.8,1.25137285,b
1782363368.7144244,61180.8,1.99690137,b
1782363378.9303172,61283.4,1.52082778,b
1782363378.9303172,61285.0,2.99951734,b
1782363378.9303172,61288.3,1.54231193,b
1782363415.2839646,61239.6,1.2570837,b
1782363415.2839649,61248.9,1.005797,b
1782363415.2839649,61251.0,1.54095114,b
1782363764.9243965,61456.0,1.0,b
1782363991.571433,61409.9,1.10355425,b
1782363991.5714333,61424.0,1.7171938,b
1782363991.5714333,61424.1,1.69102017,b
1782363991.5714333,61424.1,2.62147086,b
1782363991.5714333,61424.1,3.34988736,b
1782364054.5228918,61498.3,1.57594536,b
1782364061.348197,61533.0,1.0,s
1782364061.348197,61533.0,1.73543146,s
1782364068.9972463,61596.4,1.436133,b
1782364069.008574,61596.4,1.3876596,b
1782364069.0126283,61597.0,2.2905154,b
1782364069.0805027,61610.1,2.66878634,b
1782364069.0902815,61610.1,1.876051,b
1782364069.0947788,61610.1,2.1,b
1782364149.995881,61610.1,1.17954131,b
1782364149.9988313,61610.1,1.02826458,b
1782364150.006136,61610.1,1.27525462,b
1782364150.0937753,61610.1,1.09870651,b
1782364150.0937753,61610.1,2.30510449,b
1782364150.1008599,61610.1,1.701905,b
1782364150.1343772,61610.1,1.2867489,b
1782364150.1376073,61610.1,3.16786405,b
1782364150.148181,61610.1,1.31379975,b
1782364150.1649506,61610.1,2.37416423,b
1782364150.165722,61610.1,3.02648,b
1782364150.1841757,61610.1,1.08649623,b
1782364150.1841757,61610.1,1.48901677,b
1782364150.1848059,61610.1,1.317911,b
1782365017.4477725,61465.2,1.72353005,b
1782365029.2690094,61610.1,1.29758039,b
1782365048.9069927,61623.4,1.817002,b
1782365926.1593394,61528.2,2.76250937,s
1782365926.1593397,61508.8,2.43867384,s
1782365926.1593397,61508.9,1.52873641,s
1782365926.15934,61500.6,2.46665683,s
1782365926.15934,61503.8,8.12957368,s
1782365926.15934,61507.8,1.819294,s
1782365926.1593401,61487.2,3.85600874,s
1782365926.1593401,61487.5,3.41797245,s
1782365926.1593401,61495.5,8.13067262,s
1782365926.1593401,61498.6,1.000612,s
1782367924.8208892,61673.5,1.16884332,b
1782367924.8208897,61684.9,1.35256632,b
1782368683.0188577,61555.7,1.55554491,s
1782370988.0806618,61565.7,1.0,s
1782370988.0806618,61565.7,1.08725816,s
1782370988.0806618,61567.3,1.36555507,s
1782371584.9909828,61659.0,1.05828723,b
1782371795.1192553,61721.9,2.55732074,s
1782376392.6763446,61670.0,1.0,s
1782377228.7629745,61680.0,1.32523108,b
1782377228.775389,61680.0,1.33717294,b
1782377778.6635382,61677.6,1.16167219,b
1782378001.1907725,61600.0,1.97879448,b
1782381461.7490213,61605.8,1.21040981,s
1782382820.588113,61560.0,1.32523108,s
1782383515.2598567,61492.5,1.0,s
1782384284.0862548,61310.2,1.460066,s
1782384630.7698877,61249.7,1.065,s
1782385663.435003,61004.6,1.467591,s
1782385663.4350033,60995.5,1.7030024,s
1782388044.6410246,61200.0,1.27214657,s
1782389688.5059426,61098.7,1.01410356,s
1782390484.2473745,61000.0,1.11345261,s
1782390621.2626865,61285.1,1.007405,b
1782390623.1702974,61363.6,1.0598932,b
1782391288.6944501,61298.6,1.826674,b
1782392617.5311477,61178.8,1.66472533,b
1782393226.6251307,61216.3,1.41513248,s
1782394301.264758,60889.2,2.46348822,s
1782394301.264758,60895.2,1.836314,s
1782394301.2647583,60877.2,3.14987187,s
1782394301.2647583,60879.9,8.2128808,s
1782394463.68327,60934.9,2.141286,b
1782394463.7172568,60940.7,1.070643,b
1782394475.4574974,60934.9,1.78211964,b
1782394490.9710867,60921.0,1.03508299,b
1782394529.1604896,60861.1,2.79162349,s
1782394529.8771515,60861.2,1.10295609,b
1782394558.4948,60908.6,1.13696253,b
1782394712.1798716,60735.9,1.5,s
1782394754.4225051,60646.3,1.5,b
1782394800.0863395,60576.0,1.85406762,s
1782394800.102425,60576.0,1.69366257,s
1782394806.9049704,60558.5,1.65052336,s
1782394863.5490766,60500.0,1.0,b
1782394932.877358,60177.7,1.02299057,s
1782395027.6838536,60108.2,2.7528798,s
1782395027.6838536,60109.9,1.31442666,s
1782395027.6838536,60114.6,2.49523388,s
1782395070.802388,60114.0,2.82712049,s
1782395081.1120825,60041.7,1.70523036,s
1782395081.4862301,60041.7,2.09636454,s
1782395081.61481,60041.7,1.1776859,s
1782395081.7601707,60041.7,1.921066,s
1782395147.1981761,59918.1,1.86477617,b
1782395147.1981764,59925.7,1.025883,b
1782395157.3343318,59766.7,1.20883853,s
1782395165.652471,59750.0,1.0098155,s
1782395165.6577954,59750.0,1.03480396,s
1782395165.7207975,59750.0,1.18172992,s
1782395165.7319589,59750.0,1.1243878,s
1782395165.8441877,59750.0,1.929183,s
1782395176.123009,59668.2,1.873513,b
1782395179.3889613,59666.5,2.51397417,b
1782395179.3994086,59674.5,4.623804,b
1782395179.3997726,59674.5,3.668845,b
1782395179.4359078,59683.4,2.34340754,b
1782395179.436577,59683.4,1.222948,b
1782395245.7619767,59606.2,2.15731278,b
1782395245.7711918,59623.1,2.87923321,b
1782395305.6844363,59500.0,1.00840337,s
1782395318.8621645,59340.0,4.9416877,s
1782395332.025821,59340.0,1.426,s
1782395332.0981302,59307.9,1.32087145,s
1782395332.3203127,59307.9,1.18556859,s
1782395332.3296678,59307.8,1.86465627,s
1782395332.5834916,59307.8,2.06984,s
1782395332.5836966,59307.8,1.76291626,s
1782395332.7660658,59304.9,2.06984,s
1782395332.7663922,59304.9,1.94363,s
1782395332.9302742,59304.9,1.11777804,s
1782395332.9311125,59276.6,1.92227803,s
1782395333.3122265,59276.6,1.14739287,s
1782395339.5825121,59267.8,4.92788822,s
1782395354.9273305,59200.8,1.12558248,s
1782395379.8834763,59460.6,1.32413979,b
1782395379.8834763,59460.7,2.85991718,b
1782395379.8834763,59462.7,1.508562,b
1782395379.8834763,59464.8,1.68251967,b
1782395379.8834765,59485.6,2.52363881,b
1782395379.8834765,59502.1,2.82536193,b
1782395453.8531203,59442.9,1.49416248,s
1782395461.6989567,59300.0,1.0,s
1782395468.763106,59264.7,1.50922,s
1782395468.7631063,59250.0,3.18003673,s
1782395475.944571,59200.7,1.60200199,s
1782395475.952761,59200.7,1.55658464,s
1782395475.9562845,59200.7,1.04338797,s
1782395475.9617782,59200.7,1.06467871,s
1782395475.9777308,59200.7,1.44667807,s
1782395476.0031595,59200.7,4.73172741,s
1782395476.0207932,59200.7,3.93307399,s
1782395476.0634623,59200.7,3.6731393,s
1782395497.0191517,59137.3,1.513203,s
1782395505.7168767,59087.3,1.514308,s
1782395510.3126192,59121.1,1.514732,s
1782395522.7600217,59246.7,1.01413041,b
1782395531.5695224,59257.6,1.0,s
1782395610.1764936,59000.0,1.759051,s
1782395610.1956465,59000.0,1.05792766,s
1782395610.2367926,59000.0,1.0,s
1782395610.236793,59000.0,2.19272525,s
1782395610.651062,58950.0,1.0,s
1782395612.2519321,58888.0,1.0,s
1782395612.2519329,58834.1,6.9481945,s
1782395612.2560465,58834.1,6.15813601,s
1782395612.256047,58808.2,1.516627,s
1782395612.264154,58721.2,1.78871519,s
1782395612.300302,58651.1,3.63,s
1782395612.3006146,58651.1,2.64,s
1782395612.302421,58651.1,1.77340862,s
1782395612.3024213,58643.0,1.426,s
1782395612.3024213,58643.0,1.47089014,s
1782395612.9580898,58821.2,1.49558616,b
1782395612.9623265,58821.2,3.48704086,b
1782395625.253059,58840.8,1.2457619,b
1782395638.541146,58745.8,2.12133966,s
1782395646.0364602,58677.2,1.43495828,s
1782395646.0717204,58694.2,1.28462606,s
1782395653.7979984,58800.0,1.17281336,s
1782395665.8265626,58713.1,1.523904,s
1782395681.1915152,58665.9,1.46073301,s
1782395681.1915152,58672.6,1.524833,s
1782395700.8046887,58753.0,1.16764915,b
1782395729.0572324,58633.2,1.89794069,s
1782395729.1850328,58633.2,1.24499447,s
1782395729.1918707,58633.2,2.31796381,s
1782395729.196707,58633.2,2.03451181,s
1782395731.2039275,58633.2,1.770997,s
1782395731.2741032,58633.2,2.00732792,s
1782395731.3172674,58633.2,1.5308156,s
1782395731.387079,58633.2,5.82468086,s
1782395731.4542308,58620.0,1.07293841,s
1782395732.7132602,58583.0,1.0,s
1782395733.8990402,58550.0,1.60118136,s
1782395734.005117,58501.0,1.0,s
1782395734.3466697,58500.0,1.71389228,s
1782395734.4459634,58500.0,1.0,s
1782395735.7722104,58397.5,1.527318,s
1782395735.7722108,58338.0,1.5,s
1782395735.777342,58277.7,1.32841213,s
1782395815.6491334,58600.0,1.76640312,s
1782395823.636602,58546.1,1.23606749,s
1782395840.1193175,58515.8,1.89077024,s
1782395847.3280725,58440.7,1.531424,s
1782395870.2810676,58311.8,2.53446696,b
1782395870.2810676,58313.3,1.71572202,b
1782395870.2810676,58313.6,1.534542,b
1782395870.2810676,58323.7,1.37035096,b
1782395870.5066378,58256.8,1.91934758,s
1782395870.6645808,58256.8,1.2949522,s
1782395870.6987085,58256.8,1.11358883,s
1782395870.9844136,58256.8,1.51127436,s
1782395871.0856683,58256.8,1.02612124,s
1782395871.0887077,58256.8,2.77365859,s
1782395871.090803,58256.8,8.12830501,s
1782395934.5718362,58220.9,1.501299,s
1782395937.0169892,58211.7,2.91943129,s
1782395940.4794667,58174.8,1.22506855,s
1782395974.749221,58050.0,2.0,s
1782395974.7590342,58033.0,2.14441532,s
1782395974.8815043,58033.0,3.97666379,s
1782395974.8889868,58033.0,1.43267645,s
1782396008.6111155,58480.8,1.02763838,b
1782396008.6111155,58506.7,1.538634,b
1782396013.1544962,58606.3,1.34470361,b
1782396013.635228,58606.5,1.535668,b
1782396013.6352284,58697.4,2.0386622,b
1782396013.6352286,58741.0,1.07354611,b
1782396013.6352293,59046.8,1.27488955,b
1782396013.6352293,59070.8,6.84073239,b
1782396019.7147799,58602.2,1.00968444,b
1782396019.7147799,58602.3,1.00678644,b
1782396040.8628623,58522.8,2.90685079,b
1782396040.8628623,58535.4,1.00793861,b
1782396040.8628626,58559.4,3.80441956,b
1782396040.8628626,58559.5,1.07483373,b
1782396040.8684728,58590.2,1.2993701,s
1782396040.8684728,58590.2,6.78422936,s
1782396040.8688424,58590.2,2.8971,s
1782396040.8724604,58590.2,1.17287366,s
1782396040.8724604,58590.2,1.29171243,s
1782396072.595932,58424.7,1.69585507,s
1782396097.3295753,58611.1,2.41309909,b
1782396100.7472255,58575.6,4.32469345,s
1782396100.7472255,58587.4,2.90051242,s
1782396112.0459495,58663.2,1.07937601,b
1782396120.0102112,58679.9,1.24500189,b
1782396120.010272,58679.9,1.20136945,b
1782396120.0137656,58745.6,1.19249486,b
1782396120.0139005,58745.6,1.02625587,b
1782396129.4354355,58776.3,1.22357224,b
1782396143.2200804,58935.5,1.69601128,s
1782396146.1226678,59021.0,1.036452,s
1782396149.5142198,59000.0,1.18313421,s
1782396162.3632164,58844.1,2.88786634,s
1782396199.8209417,58920.2,2.2384454,s
1782396219.4326794,58889.7,1.59615212,s
1782396232.9717977,58950.5,1.48153845,s
1782396233.2873733,58950.5,1.36101047,s
1782396240.139907,58950.5,1.42259526,s
1782396244.1774752,58804.4,2.6650143,s
1782396271.6487026,58850.0,1.333694,s
1782396274.0078764,58850.0,1.09971939,s
1782396320.3333018,59036.2,1.97879448,b
1782396374.9905066,58918.3,1.67906975,b
1782396447.2201338,58923.4,2.88428809,s
1782396480.395596,59261.6,3.64117539,b
1782396488.306096,59264.8,2.86924791,b
1782396488.3060966,59299.3,3.86677365,b
1782396493.1992207,59152.3,2.87493804,b
1782396502.0027137,59167.8,1.65645689,s
1782396533.4767883,59360.4,2.68447032,b
1782396533.4767883,59374.1,1.6438471,b
1782396533.4767885,59376.1,1.03389049,b
1782396533.4767885,59383.9,1.16396002,b
1782396568.8566875,59363.8,1.68443833,b
1782396572.8450696,59321.9,2.86654814,b
1782396578.1307278,59327.9,1.29905291,b
1782396635.2104166,59511.7,1.41683062,s
1782396636.6463988,59497.9,1.8023878,s
1782396665.5019708,59480.7,1.0,s
1782396703.3164082,59406.4,1.58559938,s
1782396703.3164082,59410.6,2.86080505,s
1782396763.7398472,59462.1,3.35044485,b
1782396766.290319,59469.4,1.0123155,s
1782396980.4611473,58900.0,2.089955,s
1782396981.2751405,58900.0,1.88163889,s
1782397019.9736605,58806.8,1.04639155,b
1782397023.631547,58704.4,1.70292028,s
1782397023.6315475,58666.6,13.64888516,s
1782397023.6315475,58668.1,8.52251424,s
1782397025.040158,58695.9,2.8948688,s
1782397205.9912245,59262.8,5.0,b
1782397224.3859024,59362.1,1.87009444,b
1782397238.7975826,59280.2,1.00277631,s
1782397262.1011426,59306.7,2.52922169,s
1782397289.39365,59451.9,1.0720424,s
1782397289.3938959,59451.9,1.78561005,s
1782397329.4530103,59455.8,7.87668546,b
1782397712.6042547,59260.0,1.06463193,b
1782397818.8844283,59215.1,1.14381227,s
1782397894.6697168,59200.2,1.1053015,s
1782397953.8190615,59295.0,3.479414,b
1782397954.0493674,59295.0,1.41356301,b
1782397954.4868934,59316.2,1.093867,b
1782397954.5578043,59316.2,1.49519837,b
1782397954.561984,59322.1,1.1683106,b
1782397954.568691,59322.1,1.17309856,b
1782397954.8459923,59322.1,1.4181,b
1782397954.9757068,59325.3,1.43244338,b
1782397978.1902003,59452.1,1.363432,b
1782397978.5173512,59452.1,3.50698284,b
1782397978.5173512,59452.1,5.29649301,b
1782397978.604165,59452.1,2.28938794,b
1782397978.7171767,59452.1,1.1195419,b
1782397979.1632552,59452.1,1.5,b
1782397982.305119,59533.2,1.2,b
1782397985.442414,59588.8,1.080208,s
1782397985.4425976,59588.8,1.080208,s
1782397987.0093262,59635.4,1.361032,b
1782397987.5475574,59678.2,1.088724,b
1782397987.6074803,59681.1,1.360789,b
1782397988.4917753,59757.0,1.91361876,b
1782397989.0231051,59834.4,1.07529178,b
1782397991.0969064,59886.2,1.5,b
1782397991.2332566,59888.4,2.245527,b
1782397991.233489,59888.4,3.368291,b
1782397991.2469072,59888.4,3.77585633,b
1782397991.252117,59888.4,1.122763,b
1782397991.264276,59888.4,6.21556698,b
1782397991.324501,59912.2,1.01356301,b
1782397991.3703043,59981.0,1.1,b
1782397991.3947732,59981.0,1.72423052,b
1782397992.288396,60023.6,1.27994395,b
1782397993.0234802,60083.6,1.09863413,b
1782397993.0254233,60113.5,1.33197963,b
