timestamp,datetime,open,high,low,close,buy_vol,sell_vol,delta,cvd
1780315200,2026-06-01 12:00:00,72391.6,72529.3,72113.1,72233.1,1.296727,26.299131,-25.002404,-92.661869
1780315500,2026-06-01 12:05:00,72233.1,72300.0,72000.0,72035.1,6.144652,30.296569,-24.151917,-116.813787
1780315800,2026-06-01 12:10:00,72035.0,72094.7,71844.0,71970.0,4.439554,37.004675,-32.565121,-149.378908
1780316100,2026-06-01 12:15:00,71970.0,72046.4,71936.1,72009.3,8.567253,8.692241,-0.124988,-149.503896
1780316400,2026-06-01 12:20:00,72009.3,72206.1,72009.3,72115.6,1.402686,1.706210,-0.303524,-149.807420
1780316700,2026-06-01 12:25:00,72123.1,72167.2,72092.7,72140.7,0.873691,4.700977,-3.827286,-153.634707
1780317000,2026-06-01 12:30:00,72140.6,72158.8,72093.7,72112.8,0.852190,29.927177,-29.074988,-182.709694
1780317300,2026-06-01 12:35:00,72127.5,72238.5,72111.8,72224.0,1.570195,1.678192,-0.107997,-182.817691
1780317600,2026-06-01 12:40:00,72223.7,72223.7,72115.3,72182.2,2.161223,0.813832,1.347391,-181.470301
1780317900,2026-06-01 12:45:00,72180.7,72185.1,72025.5,72081.1,7.211798,2.972159,4.239639,-177.230662
1780318200,2026-06-01 12:50:00,72081.0,72124.9,72031.6,72031.9,0.763184,2.649517,-1.886333,-179.116995
1780318500,2026-06-01 12:55:00,72031.9,72136.6,72031.9,72130.0,4.172173,1.414791,2.757382,-176.359613
1780318800,2026-06-01 13:00:00,72127.3,72143.2,71933.2,71947.6,0.960300,8.808575,-7.848275,-184.207888
1780319100,2026-06-01 13:05:00,71947.6,71947.6,71915.0,71915.1,2.815632,6.744699,-3.929067,-188.136954
1780319400,2026-06-01 13:10:00,71915.1,71915.1,71666.0,71753.2,7.292827,35.162130,-27.869302,-216.006256
1780319700,2026-06-01 13:15:00,71753.1,71934.6,71753.1,71844.3,15.977181,5.071707,10.905474,-205.100782
1780320000,2026-06-01 13:20:00,71845.9,71916.9,71683.9,71707.2,0.759515,7.029397,-6.269882,-211.370664
1780320300,2026-06-01 13:25:00,71712.4,71762.2,71662.5,71728.4,1.240819,2.463134,-1.222315,-212.592979
1780320600,2026-06-01 13:30:00,71728.5,71943.2,71628.6,71855.3,25.787910,8.889600,16.898310,-195.694669
1780320900,2026-06-01 13:35:00,71850.8,71915.7,71758.5,71783.2,1.267523,6.334552,-5.067029,-200.761698
1780321200,2026-06-01 13:40:00,71779.7,71779.7,71461.9,71467.1,1.834918,29.374468,-27.539550,-228.301247
1780321500,2026-06-01 13:45:00,71500.0,71652.9,71500.0,71523.8,3.522394,8.701089,-5.178696,-233.479943
1780321800,2026-06-01 13:50:00,71523.7,71617.5,71452.4,71490.6,2.037312,19.989072,-17.951761,-251.431704
1780322100,2026-06-01 13:55:00,71486.4,71973.9,71275.0,71614.2,48.943054,28.660886,20.282168,-231.149536
1780322400,2026-06-01 14:00:00,71614.1,71774.1,71488.3,71760.4,4.543981,2.681814,1.862168,-229.287369
1780322700,2026-06-01 14:05:00,71774.4,71774.4,71501.3,71592.9,18.633036,9.867241,8.765795,-220.521574
1780323000,2026-06-01 14:10:00,71590.2,71590.2,71438.7,71565.0,7.054972,6.914734,0.140239,-220.381335
1780323300,2026-06-01 14:15:00,71565.0,71621.5,71413.6,71483.7,3.769217,14.479420,-10.710202,-231.091537
